build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
l7-xil-nand-v1.3.4,l7,Antminer L7,Bitmain,l7,XIL,nand,l7-xil-nand,1.3.4,stable,vnish-l7-xil-nand-v1.3.4.tar.gz,16185101,1e46b8139e44d993f365352b680715dcfad040366d980d8636eefcdc18f41c62
l7-xil-nand-v1.3.5,l7,Antminer L7,Bitmain,l7,XIL,nand,l7-xil-nand,1.3.5,stable,vnish-l7-xil-nand-v1.3.5.tar.gz,16198297,fd8a0e9fd8da9f06c648317036b1d18c41d798563dbbaae6db23f17112532c57
l7-xil-nand-v1.3.6,l7,Antminer L7,Bitmain,l7,XIL,nand,l7-xil-nand,1.3.6,stable,vnish-l7-xil-nand-v1.3.6.tar.gz,16194989,a14d438ecb4cd211b77b61e0c4b4cf86c0f5aeb2ee6baa8910daea42db0f49e4
l9-aml-nand-v1.3.4,l9,Antminer L9,Bitmain,l9,AML,nand,l9-aml-nand,1.3.4,stable,vnish-l9-aml-nand-v1.3.4.tar.gz,21537920,459435cbb4a20f8f135552a9af9924e16d255da1628ccb6d638a2cb86bb3c35d
l9-cv-nand-v1.3.4,l9,Antminer L9,Bitmain,l9,CV,nand,l9-cv-nand,1.3.4,stable,vnish-l9-cv-nand-v1.3.4.tar.gz,12366461,afdf2126fa7a6e40e0fd5b918c7cf9ca9b2561870670ad35816bfa703a47a03e
l9-cv-nand-v1.3.5,l9,Antminer L9,Bitmain,l9,CV,nand,l9-cv-nand,1.3.5,stable,vnish-l9-cv-nand-v1.3.5.tar.gz,12367857,b96c6e7b42f58215ea9a8baaa32d7d6775763f80e49ad7ec48934995f01fd518
l9-aml-nand-v1.3.5,l9,Antminer L9,Bitmain,l9,AML,nand,l9-aml-nand,1.3.5,stable,vnish-l9-aml-nand-v1.3.5.tar.gz,21574424,a5037649ec6832da708ca9d37ddf9e4b4f4afda10b00c1aa808c242e3944d7a2
l9-aml-nand-v1.3.6,l9,Antminer L9,Bitmain,l9,AML,nand,l9-aml-nand,1.3.6,stable,vnish-l9-aml-nand-v1.3.6.tar.gz,21566744,49b01f9326b27cb1fd355b9be998f5bddca8b7f06c19286578612c714ef837ff
l9-cv-nand-v1.3.6,l9,Antminer L9,Bitmain,l9,CV,nand,l9-cv-nand,1.3.6,stable,vnish-l9-cv-nand-v1.3.6.tar.gz,12495929,92c56b4ad27dca6e7fec345d117bd59966505e1ea3ace58455ba0373bc6d2ac0
s19-xil-nand-v1.3.4,s19,Antminer S19,Bitmain,x19,XIL,nand,s19-xil-nand,1.3.4,stable,vnish-s19-xil-nand-v1.3.4.tar.gz,16181712,931fd3551dcb7d264e45180397f031c3b3a642f07150159e0b343d6b1837f035
s19-xil-nand-v1.3.5,s19,Antminer S19,Bitmain,x19,XIL,nand,s19-xil-nand,1.3.5,stable,vnish-s19-xil-nand-v1.3.5.tar.gz,16196434,5457531a2fa282c679a26a11955e09cf0574ad6ee726f1512215f3d40503ae0a
s19-xil-nand-v1.3.6,s19,Antminer S19,Bitmain,x19,XIL,nand,s19-xil-nand,1.3.6,stable,vnish-s19-xil-nand-v1.3.6.tar.gz,16173634,cc6b38f5d908a966f1d9af918250dcef6cce4a7eef63f08f8c5d39fa849d826a
s19-126-aml-nand-v1.3.4,s19-126,Antminer S19 (126),Bitmain,x19,AML,nand,s19-126-aml-nand,1.3.4,stable,vnish-s19-126-aml-nand-v1.3.4.tar.gz,21550755,1b81f501c9ddb453d3b773df50e9f8c0fcc73bdd17ed21eaf5a0d620701adb78
s19-126-cv-nand-v1.3.4,s19-126,Antminer S19 (126),Bitmain,x19,CV,nand,s19-126-cv-nand,1.3.4,stable,vnish-s19-126-cv-nand-v1.3.4.tar.gz,12378470,78877a6c1cfd6083e5ea92969efadbbf143015ae4227c7edfd2e136fd2a45210
s19-126-aml-nand-v1.3.5,s19-126,Antminer S19 (126),Bitmain,x19,AML,nand,s19-126-aml-nand,1.3.5,stable,vnish-s19-126-aml-nand-v1.3.5.tar.gz,21547281,88f72224051cb0e9546e682958f26b858aa89332ce1876cbd3b79581461a5549
s19-126-cv-nand-v1.3.5,s19-126,Antminer S19 (126),Bitmain,x19,CV,nand,s19-126-cv-nand,1.3.5,stable,vnish-s19-126-cv-nand-v1.3.5.tar.gz,12389303,423e8463a91b43590db4d68b762ab73ec03fe8cc0083ace62374783e89571156
s19-126-aml-nand-v1.3.6,s19-126,Antminer S19 (126),Bitmain,x19,AML,nand,s19-126-aml-nand,1.3.6,stable,vnish-s19-126-aml-nand-v1.3.6.tar.gz,21570295,ad4e2a55f0e917272cd09183f023f8e6bef859843f0adb8a28f7d01bf93d7fda
s19-126-cv-nand-v1.3.6,s19-126,Antminer S19 (126),Bitmain,x19,CV,nand,s19-126-cv-nand,1.3.6,stable,vnish-s19-126-cv-nand-v1.3.6.tar.gz,12492923,c66869a070f31e9867f783b47886baaff482d5a1acfc3e4eced7c2759730aa5b
s19-126-xil-nand-v1.3.6,s19-126,Antminer S19 (126),Bitmain,x19,XIL,nand,s19-126-xil-nand,1.3.6,stable,vnish-s19-126-xil-nand-v1.3.6.tar.gz,16175885,7e74dc46daa671f02dc91fbed14acbe41391f6075ab8417c87336890e57db264
s19-88-aml-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,AML,nand,s19-88-aml-nand,1.3.4,stable,vnish-s19-88-aml-nand-v1.3.4.tar.gz,21549160,fc91465dbedbf4fed85b15f5cff4bcfb83247c877fbf07ed940c3b2f55f3c33a
s19-88-bb-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,BB,nand,s19-88-bb-nand,1.3.4,stable,vnish-s19-88-bb-nand-v1.3.4.tar.gz,19264796,a7a3e49237491f16e997aab43d9649cac22e2fd60bf2bb21c68118b0581fdd2d
