route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
l7-xil-nand,l7,Antminer L7,XIL,xil,nand,1.3.5,vnish-l7-xil-nand-v1.3.5.tar.gz,fd8a0e9fd8da9f06c648317036b1d18c41d798563dbbaae6db23f17112532c57,16198297
l9-aml-nand,l9,Antminer L9,AML,aml,nand,1.3.5,vnish-l9-aml-nand-v1.3.5.tar.gz,a5037649ec6832da708ca9d37ddf9e4b4f4afda10b00c1aa808c242e3944d7a2,21574424
l9-cv-nand,l9,Antminer L9,CV,cv,nand,1.3.5,vnish-l9-cv-nand-v1.3.5.tar.gz,b96c6e7b42f58215ea9a8baaa32d7d6775763f80e49ad7ec48934995f01fd518,12367857
s19-126-aml-nand,s19-126,Antminer S19 (126),AML,aml,nand,1.3.5,vnish-s19-126-aml-nand-v1.3.5.tar.gz,88f72224051cb0e9546e682958f26b858aa89332ce1876cbd3b79581461a5549,21547281
s19-126-cv-nand,s19-126,Antminer S19 (126),CV,cv,nand,1.3.5,vnish-s19-126-cv-nand-v1.3.5.tar.gz,423e8463a91b43590db4d68b762ab73ec03fe8cc0083ace62374783e89571156,12389303
s19-88-aml-nand,s19-88,Antminer S19 (88),AML,aml,nand,1.3.5,vnish-s19-88-aml-nand-v1.3.5.tar.gz,f61725aa2e86d2e79c5f9712f4f873748a8311e93174e2563cbc246ba88c207d,21572556
s19-88-bb-nand,s19-88,Antminer S19 (88),BB,bb,nand,1.3.5,vnish-s19-88-bb-nand-v1.3.5.tar.gz,6ee67be44572f07a5e29ef9c8051650ec43be518e95020394fb5ff38cc65a492,19258261
s19-88-cv-nand,s19-88,Antminer S19 (88),CV,cv,nand,1.3.5,vnish-s19-88-cv-nand-v1.3.5.tar.gz,944139ca3de3c6256161bcdc7413b5a92c17561421217586463905cca05a0a54,12388915
s19-88-xil-nand,s19-88,Antminer S19 (88),XIL,xil,nand,1.3.5,vnish-s19-88-xil-nand-v1.3.5.tar.gz,d161a3373ffead720eba5702dd87bcc28ed36d144103bc81c851d867f5e77dae,16175548
s19-hydro-xil-nand,s19-hydro,Antminer S19 Hydro,XIL,xil,nand,1.3.5,vnish-s19-hydro-xil-nand-v1.3.5.tar.gz,4829a0c691fd5915595b4f12df7790286671eeba2a11d0f4c0e8ae4db8b45ffa,16199553
s19-xil-nand,s19,Antminer S19,XIL,xil,nand,1.3.5,vnish-s19-xil-nand-v1.3.5.tar.gz,5457531a2fa282c679a26a11955e09cf0574ad6ee726f1512215f3d40503ae0a,16196434
s19a-xil-nand,s19a,Antminer S19a,XIL,xil,nand,1.3.5,vnish-s19a-xil-nand-v1.3.5.tar.gz,8ab6982093eb996893b79bbf31e44bf656700699f16e1fe892dd2752f4d17609,16172269
s19apro-xil-nand,s19apro,Antminer S19A Pro,XIL,xil,nand,1.3.5,vnish-s19apro-xil-nand-v1.3.5.tar.gz,7e52784408017e661cee1d25b8989d513e1a909d18ab8d0b17d83beb1c009f18,16203601
s19e-xp-hydro-xil-nand,s19e-xp-hydro,Antminer S19e XP Hydro,XIL,xil,nand,1.3.5,vnish-s19e-xp-hydro-xil-nand-v1.3.5.tar.gz,9d52eb763cb71794bccb6c47fbba2404a6ed44165fab015b3a706afa9af8b06a,16177872
s19i-xil-nand,s19i,Antminer S19i,XIL,xil,nand,1.3.5,vnish-s19i-xil-nand-v1.3.5.tar.gz,230578e081c774758f1b49dc72c7404b301089e88c18cdb5450284e298c0ed16,16173650
s19j-bb-nand,s19j,Antminer S19j,BB,bb,nand,1.3.5,vnish-s19j-bb-nand-v1.3.5.tar.gz,1a486fa4b31c42369e850d8804061eb78abe36523a0d105af141131d6cb600b3,19250124
s19j-cv-nand,s19j,Antminer S19j,CV,cv,nand,1.3.5,vnish-s19j-cv-nand-v1.3.5.tar.gz,c115983f2e7fd0047f2b959d5fcedb2da86dfa086abd2c480373b67edb22b755,12367100
