build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
l7-xil-nand-v1.3.4,l7,Antminer L7,Bitmain,l7,XIL,nand,l7-xil-nand,1.3.4,stable,vnish-l7-xil-nand-v1.3.4.tar.gz,16185101,1e46b8139e44d993f365352b680715dcfad040366d980d8636eefcdc18f41c62
l9-aml-nand-v1.3.4,l9,Antminer L9,Bitmain,l9,AML,nand,l9-aml-nand,1.3.4,stable,vnish-l9-aml-nand-v1.3.4.tar.gz,21537920,459435cbb4a20f8f135552a9af9924e16d255da1628ccb6d638a2cb86bb3c35d
l9-cv-nand-v1.3.4,l9,Antminer L9,Bitmain,l9,CV,nand,l9-cv-nand,1.3.4,stable,vnish-l9-cv-nand-v1.3.4.tar.gz,12366461,afdf2126fa7a6e40e0fd5b918c7cf9ca9b2561870670ad35816bfa703a47a03e
s19-xil-nand-v1.3.4,s19,Antminer S19,Bitmain,x19,XIL,nand,s19-xil-nand,1.3.4,stable,vnish-s19-xil-nand-v1.3.4.tar.gz,16181712,931fd3551dcb7d264e45180397f031c3b3a642f07150159e0b343d6b1837f035
s19-126-aml-nand-v1.3.4,s19-126,Antminer S19 (126),Bitmain,x19,AML,nand,s19-126-aml-nand,1.3.4,stable,vnish-s19-126-aml-nand-v1.3.4.tar.gz,21550755,1b81f501c9ddb453d3b773df50e9f8c0fcc73bdd17ed21eaf5a0d620701adb78
s19-126-cv-nand-v1.3.4,s19-126,Antminer S19 (126),Bitmain,x19,CV,nand,s19-126-cv-nand,1.3.4,stable,vnish-s19-126-cv-nand-v1.3.4.tar.gz,12378470,78877a6c1cfd6083e5ea92969efadbbf143015ae4227c7edfd2e136fd2a45210
s19-88-aml-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,AML,nand,s19-88-aml-nand,1.3.4,stable,vnish-s19-88-aml-nand-v1.3.4.tar.gz,21549160,fc91465dbedbf4fed85b15f5cff4bcfb83247c877fbf07ed940c3b2f55f3c33a
s19-88-bb-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,BB,nand,s19-88-bb-nand,1.3.4,stable,vnish-s19-88-bb-nand-v1.3.4.tar.gz,19264796,a7a3e49237491f16e997aab43d9649cac22e2fd60bf2bb21c68118b0581fdd2d
s19-88-cv-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,CV,nand,s19-88-cv-nand,1.3.4,stable,vnish-s19-88-cv-nand-v1.3.4.tar.gz,12377753,9ee66b368148f5750e9c9a9ceca8edc051f1591caf236dd4336809522919b970
s19-88-xil-nand-v1.3.4,s19-88,Antminer S19 (88),Bitmain,x19,XIL,nand,s19-88-xil-nand,1.3.4,stable,vnish-s19-88-xil-nand-v1.3.4.tar.gz,16180554,e864e3b32ff7ffac04dded716a1a768899ac75d31916af8e5ca792c5481fc828
