route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
l7-xil-nand,l7,Antminer L7,XIL,xil,nand,1.3.6,vnish-l7-xil-nand-v1.3.6.tar.gz,a14d438ecb4cd211b77b61e0c4b4cf86c0f5aeb2ee6baa8910daea42db0f49e4,16194989
l9-aml-nand,l9,Antminer L9,AML,aml,nand,1.3.6,vnish-l9-aml-nand-v1.3.6.tar.gz,49b01f9326b27cb1fd355b9be998f5bddca8b7f06c19286578612c714ef837ff,21566744
l9-cv-nand,l9,Antminer L9,CV,cv,nand,1.3.6,vnish-l9-cv-nand-v1.3.6.tar.gz,92c56b4ad27dca6e7fec345d117bd59966505e1ea3ace58455ba0373bc6d2ac0,12495929
s19-126-aml-nand,s19-126,Antminer S19 (126),AML,aml,nand,1.3.6,vnish-s19-126-aml-nand-v1.3.6.tar.gz,ad4e2a55f0e917272cd09183f023f8e6bef859843f0adb8a28f7d01bf93d7fda,21570295
s19-126-cv-nand,s19-126,Antminer S19 (126),CV,cv,nand,1.3.6,vnish-s19-126-cv-nand-v1.3.6.tar.gz,c66869a070f31e9867f783b47886baaff482d5a1acfc3e4eced7c2759730aa5b,12492923
s19-126-xil-nand,s19-126,Antminer S19 (126),XIL,xil,nand,1.3.6,vnish-s19-126-xil-nand-v1.3.6.tar.gz,7e74dc46daa671f02dc91fbed14acbe41391f6075ab8417c87336890e57db264,16175885
s19-88-aml-nand,s19-88,Antminer S19 (88),AML,aml,nand,1.3.6,vnish-s19-88-aml-nand-v1.3.6.tar.gz,2384899eaf540ffea0088126985c7a8ed07359c1353964ec00de741280ff1ce6,21569873
s19-88-bb-nand,s19-88,Antminer S19 (88),BB,bb,nand,1.3.6,vnish-s19-88-bb-nand-v1.3.6.tar.gz,dd1883f67626be86a569327cdb0c6eddecf3bc85514c3c060d88b3d2b7f7d354,19255577
s19-88-cv-nand,s19-88,Antminer S19 (88),CV,cv,nand,1.3.6,vnish-s19-88-cv-nand-v1.3.6.tar.gz,39d9ab99e0a5c9cf8e836d7ffe9e958c7d36b5e1886ef4b162c5b6abdffbbf9f,12485250
s19-88-xil-nand,s19-88,Antminer S19 (88),XIL,xil,nand,1.3.6,vnish-s19-88-xil-nand-v1.3.6.tar.gz,c71736168e6b5908345c77c88c951280ae290c2b549a4cf30573a56e99db9100,16193013
s19-hydro-xil-nand,s19-hydro,Antminer S19 Hydro,XIL,xil,nand,1.3.6,vnish-s19-hydro-xil-nand-v1.3.6.tar.gz,3062b503d96d30c381a4b07ba3e2ea87ffe42c07c51f1d0d2ff0484dccfee3a5,16174277
s19-xil-nand,s19,Antminer S19,XIL,xil,nand,1.3.6,vnish-s19-xil-nand-v1.3.6.tar.gz,cc6b38f5d908a966f1d9af918250dcef6cce4a7eef63f08f8c5d39fa849d826a,16173634
s19a-xil-nand,s19a,Antminer S19a,XIL,xil,nand,1.3.6,vnish-s19a-xil-nand-v1.3.6.tar.gz,edc7492d29b51fc667b5cad5c1d84785d0c99ecc7b726a8312ce55451d2d03ff,16176081
s19apro-xil-nand,s19apro,Antminer S19A Pro,XIL,xil,nand,1.3.6,vnish-s19apro-xil-nand-v1.3.6.tar.gz,ce124a655954f9f69ee1b7edafbfe0ea102451782a452d1be28c97108a9c4d2c,16178188
